crop_type,temperature,humidity,rainfall,soil_moisture,soil_ph,nitrogen,phosphorus,potassium,sunlight_hours,pest_activity,leaf_discoloration,growth_rate,previous_disease_history,disease_risk
Cotton,35.38,84.51,113.48,54.27,5.78,21.89,41.45,6.58,3.89,1,1,0.464,0,High Risk
Sunflower,31.93,61.95,110.66,42.24,5.92,54.08,17.06,51.12,4.19,1,0,0.438,1,High Risk
Sugarcane,16.11,57.88,92.24,64.45,6.79,55.88,63.45,71.28,9.46,0,0,0.821,0,Low Risk
Cotton,33.96,86.73,107.89,42.37,8.6,33.89,45.56,16.98,5.55,0,1,0.534,1,High Risk
Potato,21.55,56.76,159.33,69.72,4.92,48.55,52.84,64.66,6.7,0,0,0.856,0,Low Risk
Sugarcane,22.34,45.05,171.99,78.01,5.59,42.2,48.5,60.22,8.33,0,0,0.775,0,Low Risk
Cotton,31.56,60.97,142.27,37.78,7.1,53.22,40.58,48.41,6.88,0,1,0.644,0,Medium Risk
Maize,23.54,54.89,100.49,56.11,7.55,85.57,43.04,59.78,9.46,0,0,0.864,0,Low Risk
Sugarcane,31.99,31.63,173.77,61.17,7.61,49.85,51.87,47.96,5.52,1,1,0.569,0,Medium Risk
Cotton,31.22,73.18,67.2,38.39,6.18,50.05,27.53,29.48,4.59,1,1,0.315,1,High Risk
Sugarcane,36.07,94.31,67.85,43.69,7.24,42.11,31.12,59.47,5.63,1,1,0.523,1,High Risk
Wheat,29.35,48.88,85.16,39.07,5.08,52.35,43.32,32.94,6.58,0,0,0.707,1,Medium Risk
Barley,39.2,91.94,33.82,50.55,6.94,13.18,28.1,13.93,4.62,1,0,0.389,1,High Risk
Maize,23.52,70.14,141.28,59.69,6.62,80.53,57.64,53.35,7.2,1,0,0.884,0,Low Risk
Sunflower,27.24,72.53,194.74,61.65,6.3,58.86,66.27,62.33,8.95,0,0,0.761,0,Low Risk
Wheat,26.19,62.83,193.19,56.7,6.55,82.32,64.32,47.3,8.32,0,1,0.885,1,Low Risk
Potato,39.8,85.03,92.15,12.91,6.7,53.56,43.74,59.5,7.6,1,0,0.416,0,High Risk
Barley,32.23,60.58,119.75,57.53,6.94,37.9,41.24,36.95,8.11,0,0,0.734,0,Medium Risk
Tomato,25.47,73.38,141.06,56.51,6.49,65.45,59.6,37.37,6.42,0,1,0.713,0,Low Risk
Maize,37.77,80.12,6.96,40.54,7.31,42.0,16.11,73.03,7.09,1,1,0.345,1,High Risk
Sugarcane,16.29,40.18,176.55,58.05,6.38,55.94,52.88,48.69,8.11,1,0,0.704,0,Low Risk
Sugarcane,19.49,66.28,156.18,56.63,6.49,68.39,64.64,44.93,6.86,0,0,0.924,0,Low Risk
Potato,24.25,72.46,139.38,72.08,7.42,82.83,38.42,65.03,10.94,0,0,0.638,0,Low Risk
Soybean,34.81,90.97,141.94,52.05,6.42,13.36,13.51,16.15,4.47,0,1,0.417,1,High Risk
Barley,33.39,86.42,61.99,22.56,6.54,26.29,9.5,43.51,4.3,1,1,0.359,1,High Risk
Sugarcane,36.45,89.34,68.39,40.04,7.43,32.63,33.34,47.49,8.2,1,1,0.242,1,High Risk
Rice,35.49,73.24,93.71,45.79,6.51,42.71,31.13,73.75,5.63,0,1,0.429,0,Medium Risk
Potato,19.41,62.61,184.34,68.36,6.38,40.08,37.66,47.74,8.94,0,0,0.784,0,Low Risk
Sunflower,24.68,54.65,139.68,72.74,5.84,83.89,46.68,49.5,7.65,0,0,0.815,0,Low Risk
Sunflower,20.16,58.49,110.59,51.44,5.91,103.15,46.97,50.16,8.0,0,0,0.798,0,Low Risk
Wheat,37.49,76.82,64.59,44.36,6.37,23.69,32.17,28.76,4.21,1,1,0.405,1,High Risk
Sugarcane,32.23,100.0,129.61,50.16,5.91,27.83,16.21,18.08,5.08,1,1,0.406,1,High Risk
Tomato,22.29,49.47,188.55,69.74,7.47,85.13,30.41,63.93,6.41,0,0,0.769,0,Low Risk
Soybean,13.74,36.45,276.69,53.35,7.53,69.03,43.26,69.2,8.12,0,0,0.802,0,Low Risk
Cotton,38.2,70.93,86.35,53.76,7.57,51.3,7.87,35.19,7.28,0,1,0.487,1,High Risk
Sunflower,35.94,83.83,94.43,37.01,6.65,20.46,10.42,53.3,3.71,1,0,0.393,0,High Risk
Sunflower,29.56,68.31,115.76,25.42,6.05,16.11,22.39,19.82,3.97,1,1,0.464,1,High Risk
Potato,32.86,78.34,26.18,34.52,6.28,55.93,33.41,13.38,3.73,1,1,0.656,1,High Risk
Maize,22.56,53.79,134.28,57.75,7.31,68.81,42.78,60.97,4.82,0,0,0.738,0,Low Risk
Potato,23.69,74.72,124.25,42.24,6.76,28.88,77.17,63.36,7.93,1,0,0.658,1,Medium Risk
Maize,37.49,80.36,116.18,28.58,7.0,39.21,22.13,40.22,6.13,1,0,0.487,0,High Risk
Soybean,22.2,34.91,141.28,53.55,6.64,71.34,50.76,67.33,6.18,0,1,0.861,0,Low Risk
Wheat,39.33,95.3,156.0,37.23,6.75,45.84,26.32,44.19,6.23,1,0,0.488,1,High Risk
Sugarcane,32.15,58.49,26.81,52.11,6.66,78.89,36.61,50.24,8.17,1,0,0.701,1,Medium Risk
Sugarcane,38.03,79.95,53.66,53.99,7.53,56.16,33.02,43.28,6.62,1,1,0.636,0,Medium Risk
Sugarcane,23.19,57.37,107.2,73.53,6.51,66.45,62.82,72.77,10.95,0,0,0.776,0,Low Risk
Soybean,29.21,75.55,138.76,38.2,5.21,62.31,25.0,21.7,8.54,0,0,0.548,1,Medium Risk
Potato,37.49,81.51,119.84,29.01,6.96,49.78,8.81,19.65,7.97,1,1,0.528,0,High Risk
Tomato,29.81,91.03,80.67,64.27,6.22,63.49,33.95,2.57,3.71,1,1,0.452,1,High Risk
Soybean,26.36,79.82,170.87,44.24,8.31,35.04,35.73,42.01,6.84,1,0,0.792,0,Medium Risk
Rice,22.88,53.02,135.82,86.31,7.94,74.49,55.0,56.69,6.43,0,0,0.802,0,Low Risk
Cotton,24.99,56.93,139.84,56.82,6.98,54.68,69.51,79.71,7.47,0,0,0.734,0,Low Risk
Cotton,46.99,77.04,13.7,44.32,6.54,15.04,17.06,39.5,3.53,1,1,0.486,1,High Risk
Wheat,21.29,53.27,164.68,60.58,6.97,79.1,67.42,43.18,5.66,0,0,0.813,0,Low Risk
Potato,26.15,45.85,174.82,58.39,6.23,56.72,45.72,67.79,9.57,0,0,0.873,0,Low Risk
Potato,24.75,66.13,96.0,42.52,5.95,68.98,58.57,53.59,8.63,0,0,0.98,0,Low Risk
Potato,31.45,74.8,61.1,27.52,7.04,14.44,32.67,23.06,4.72,0,0,0.501,1,High Risk
Cotton,37.58,81.67,20.42,48.85,6.4,38.32,43.63,9.51,2.92,1,1,0.477,1,High Risk
Cotton,35.5,73.99,58.04,48.5,6.46,14.16,33.89,19.55,5.86,1,1,0.386,1,High Risk
Cotton,29.15,83.36,124.92,46.38,5.95,57.13,57.18,62.17,5.81,0,1,0.685,0,Medium Risk
Rice,35.95,71.02,109.62,49.32,6.64,75.0,47.24,30.55,6.11,1,0,0.772,1,Medium Risk
Maize,27.05,75.07,131.33,42.95,7.14,54.94,26.51,30.38,5.62,0,0,0.742,0,Medium Risk
Potato,37.82,74.43,131.16,21.79,5.82,42.76,33.18,31.86,6.9,1,0,0.227,1,High Risk
Cotton,31.57,53.96,22.29,50.81,6.39,46.4,44.95,34.57,8.03,0,0,0.719,0,Medium Risk
Cotton,31.52,62.59,26.98,47.5,6.89,83.14,50.3,47.69,5.73,0,0,0.775,1,Medium Risk
Barley,31.55,48.59,95.4,41.79,6.62,40.16,41.71,50.0,6.62,0,0,0.678,0,Medium Risk
Rice,19.37,39.62,101.19,52.81,7.42,70.59,52.32,58.65,8.55,0,0,0.96,0,Low Risk
Wheat,35.49,61.76,94.44,43.38,6.36,21.86,18.96,51.37,7.59,0,0,0.39,1,High Risk
Cotton,29.74,67.22,101.44,59.02,5.14,55.05,24.85,38.05,10.1,0,0,0.895,0,Low Risk
Sugarcane,18.3,52.33,132.83,65.89,5.38,76.93,74.29,40.92,8.28,0,0,0.754,0,Low Risk
Sunflower,20.03,60.79,88.69,70.33,6.79,86.14,48.53,53.91,9.22,0,0,0.689,1,Low Risk
Rice,37.51,83.04,64.15,41.14,8.28,1.21,23.42,41.37,3.63,1,1,0.457,1,High Risk
Tomato,36.35,77.72,15.59,20.83,6.03,27.68,16.89,34.82,6.73,1,0,0.295,1,High Risk
Tomato,38.92,83.62,42.19,25.75,7.03,15.61,31.91,30.78,5.37,1,1,0.388,1,High Risk
Soybean,34.02,96.38,138.82,43.26,6.01,31.13,35.46,39.74,2.0,1,1,0.272,0,High Risk
Sugarcane,32.27,71.75,77.87,43.88,6.5,28.33,29.7,46.14,4.01,0,1,0.453,1,High Risk
Sugarcane,41.04,83.84,40.17,53.22,6.31,23.81,26.45,46.89,7.09,1,0,0.477,1,High Risk
Maize,37.38,73.17,8.82,39.66,5.85,18.94,16.9,30.97,6.46,1,1,0.566,1,High Risk
Sugarcane,30.88,75.45,69.55,40.84,5.99,43.72,22.38,26.47,4.11,0,1,0.615,0,High Risk
Maize,26.49,39.3,120.91,57.52,6.45,79.31,52.13,41.31,8.57,0,0,0.881,0,Low Risk
Sugarcane,16.93,60.84,112.36,46.12,5.58,79.01,51.67,70.95,9.0,1,0,0.778,1,Low Risk
Barley,25.56,86.92,92.66,27.51,5.25,36.41,44.74,24.83,5.0,1,1,0.651,1,High Risk
Sunflower,22.05,47.45,118.01,67.24,6.98,84.36,36.05,42.89,9.71,0,1,0.841,0,Low Risk
Sugarcane,31.21,82.34,149.9,21.45,6.73,34.24,23.24,0.0,4.77,0,1,0.48,1,High Risk
Barley,32.73,77.78,65.93,47.82,6.89,54.47,42.57,28.29,5.76,0,1,0.635,0,Medium Risk
Tomato,30.94,49.94,79.3,53.73,7.3,41.74,37.51,22.59,9.19,0,0,0.761,1,Medium Risk
Sunflower,23.47,49.09,197.57,45.88,8.15,83.16,28.66,56.86,7.75,0,0,0.859,1,Low Risk
Tomato,36.92,78.69,113.37,30.56,6.4,24.36,20.24,29.59,4.88,1,1,0.38,0,High Risk
Sunflower,37.02,42.56,77.41,79.36,7.02,72.81,66.35,48.36,7.84,0,0,0.916,0,Low Risk
Potato,34.72,89.16,65.71,64.71,7.15,16.73,35.74,54.88,7.51,1,1,0.816,1,Medium Risk
Sugarcane,22.46,57.34,261.96,65.49,7.73,69.34,56.71,57.95,12.02,0,0,0.751,1,Low Risk
Barley,39.37,69.13,57.72,14.45,6.54,25.75,21.2,46.5,4.53,1,0,0.466,1,High Risk
Maize,26.96,81.73,112.05,32.02,6.35,33.87,22.59,20.49,4.54,1,0,0.411,1,High Risk
Wheat,37.72,90.41,94.76,39.44,7.33,36.43,23.26,28.21,4.17,0,0,0.324,1,High Risk
Soybean,40.66,99.48,104.86,28.07,6.86,43.7,13.87,45.38,4.62,1,0,0.424,1,High Risk
Potato,41.15,89.2,86.3,50.59,6.19,0.0,41.7,42.45,6.01,0,0,0.431,0,High Risk
Sunflower,30.05,74.52,224.55,67.46,6.67,42.31,36.97,35.59,7.33,1,0,0.682,1,Medium Risk
Rice,34.37,49.0,79.01,44.56,5.78,37.66,57.44,40.25,10.19,0,1,0.756,1,Medium Risk
Wheat,36.64,79.71,138.96,39.09,6.33,42.12,39.01,42.47,4.6,1,1,0.457,1,High Risk
Potato,34.83,81.71,0.0,39.42,5.95,3.99,33.18,18.95,7.98,1,1,0.425,0,High Risk
Sunflower,21.3,32.83,148.95,58.72,7.12,68.7,42.94,62.7,8.84,0,0,0.658,1,Low Risk
Tomato,32.72,71.0,129.74,13.6,6.85,34.25,44.85,26.69,4.94,1,1,0.339,0,High Risk
Cotton,30.97,52.42,152.47,51.08,6.43,41.0,28.48,49.44,4.38,1,0,0.729,1,Medium Risk
Sunflower,36.8,89.25,107.56,43.04,6.67,23.21,25.73,19.26,3.79,1,1,0.26,1,High Risk
Sunflower,36.88,72.12,66.66,36.39,6.73,8.79,18.55,35.66,4.45,1,1,0.328,1,High Risk
Rice,36.05,100.0,9.04,54.86,7.63,28.28,0.0,25.56,4.93,1,1,0.248,0,High Risk
Sugarcane,35.74,44.27,132.85,64.16,6.92,84.37,71.69,67.09,6.42,0,0,0.794,0,Low Risk
Tomato,21.75,47.98,165.41,71.21,6.41,73.08,51.37,60.03,6.37,0,0,0.931,1,Low Risk
Tomato,34.7,72.78,164.53,37.35,7.41,29.6,38.12,33.62,8.11,0,1,0.493,1,Medium Risk
Potato,36.15,63.14,15.7,58.87,6.13,44.75,52.34,49.86,8.27,0,1,0.756,1,Medium Risk
Maize,29.27,79.97,150.58,31.9,5.58,30.5,37.18,25.01,5.3,1,0,0.43,0,High Risk
Maize,17.4,65.46,156.76,62.52,7.07,50.35,30.42,82.13,5.84,0,0,0.698,0,Low Risk
Cotton,22.55,39.4,129.52,58.76,5.75,70.46,52.06,76.84,7.75,0,0,0.831,0,Low Risk
Barley,41.46,67.81,78.6,34.74,5.57,33.23,20.92,45.62,5.41,1,1,0.313,1,High Risk
Barley,23.63,74.76,101.8,55.27,6.83,54.25,26.63,48.89,7.66,1,0,0.583,0,Medium Risk
Soybean,34.2,72.93,121.83,50.67,6.25,18.85,44.51,58.43,6.99,0,0,0.5,1,Medium Risk
Sugarcane,25.55,55.39,96.49,62.39,5.56,75.62,40.43,60.52,8.59,0,0,1.0,0,Low Risk
Soybean,36.36,67.3,49.94,38.5,7.18,10.12,22.15,19.96,4.13,1,0,0.437,1,High Risk
Sugarcane,28.06,72.39,128.85,41.02,6.27,42.46,42.47,43.2,5.88,0,0,0.662,0,Medium Risk
Wheat,35.27,67.35,40.35,49.01,7.07,36.18,27.02,5.53,4.92,1,1,0.413,1,High Risk
Barley,36.86,78.24,143.43,41.14,5.43,35.62,39.24,52.44,9.38,0,0,0.53,0,Medium Risk
Soybean,29.04,56.36,181.79,45.49,5.21,67.33,34.66,60.56,6.74,0,0,0.851,0,Low Risk
Rice,22.1,54.86,171.85,60.06,6.19,68.36,48.94,54.82,7.61,0,0,0.98,1,Low Risk
Cotton,23.33,57.85,131.12,62.17,6.17,61.66,39.23,81.36,8.55,0,1,0.841,0,Low Risk
Sunflower,33.4,96.91,63.11,46.8,8.09,66.27,8.89,44.47,4.08,0,1,0.458,0,High Risk
Cotton,31.67,90.48,104.69,43.56,6.36,33.7,35.84,12.83,5.26,0,1,0.541,1,High Risk
Tomato,37.43,88.58,57.17,34.0,6.82,13.13,18.54,28.31,6.61,0,1,0.377,1,High Risk
Maize,28.74,52.85,212.17,66.69,7.7,53.99,48.14,59.16,8.91,0,1,0.746,0,Low Risk
Maize,25.12,67.24,167.89,52.96,6.57,27.83,54.42,45.65,7.16,1,0,0.535,1,Medium Risk
Sunflower,37.7,100.0,10.08,23.99,5.6,39.44,3.49,46.02,3.91,1,1,0.502,0,High Risk
Soybean,24.0,50.64,121.45,70.58,6.78,72.78,30.79,56.41,7.92,0,0,0.904,0,Low Risk
Barley,28.64,81.98,71.53,42.89,6.15,58.31,40.68,52.91,7.19,0,0,0.743,0,Medium Risk
Sugarcane,38.07,86.09,79.02,50.74,7.32,45.43,24.18,28.04,5.59,1,0,0.353,1,High Risk
Soybean,19.08,57.13,87.37,72.98,8.28,72.74,48.87,55.49,9.17,0,0,0.877,0,Low Risk
Cotton,26.3,59.88,125.65,66.37,6.76,98.32,42.61,78.0,6.65,0,0,0.796,0,Low Risk
Potato,36.25,81.29,81.02,52.36,6.5,9.43,28.09,24.61,3.82,0,1,0.308,1,High Risk
Barley,33.62,79.75,69.46,42.06,5.81,23.96,0.0,14.87,6.26,1,1,0.507,1,High Risk
Rice,19.74,38.16,145.7,76.06,6.4,74.53,66.51,54.34,11.05,1,0,1.0,0,Low Risk
Sugarcane,40.05,64.52,65.9,16.72,7.34,15.26,13.03,2.92,6.17,1,1,0.427,1,High Risk
Sunflower,37.18,71.48,136.72,43.16,5.48,57.23,32.06,35.82,5.81,0,0,0.733,0,Medium Risk
Barley,35.07,66.98,29.63,70.34,6.04,52.93,46.73,64.73,9.71,0,1,0.614,0,Medium Risk
Maize,29.55,90.78,117.45,34.35,6.58,48.63,28.47,36.79,5.63,1,1,0.355,0,High Risk
Tomato,26.32,75.89,109.93,38.64,6.06,62.99,47.32,37.72,7.52,0,0,0.546,1,Medium Risk
Potato,25.6,61.37,160.35,23.34,5.24,25.82,52.05,54.53,5.48,0,0,0.603,0,Medium Risk
Wheat,23.76,68.09,75.25,64.15,5.88,79.41,39.12,82.01,6.65,0,0,0.574,0,Low Risk
Maize,31.64,76.96,110.85,39.3,7.51,38.48,26.17,41.72,6.42,0,0,0.65,1,Medium Risk
Sunflower,21.23,75.32,189.43,63.41,6.71,34.33,39.46,47.16,6.26,0,0,0.608,0,Medium Risk
Cotton,32.19,67.19,87.58,48.97,7.26,32.12,33.05,34.48,6.94,1,1,0.582,1,Medium Risk
Wheat,27.56,68.74,73.28,67.03,4.99,48.79,29.01,26.76,7.88,1,0,0.549,0,Medium Risk
Potato,26.62,59.77,56.18,53.64,7.6,48.14,52.55,45.93,6.94,0,0,1.0,0,Low Risk
Potato,25.42,62.69,200.48,61.8,5.41,81.83,44.34,54.43,8.45,0,0,0.877,0,Low Risk
Wheat,23.35,66.13,147.4,68.43,6.02,63.47,50.11,57.94,7.64,0,0,0.733,0,Low Risk
Cotton,35.35,81.71,54.15,35.17,7.42,11.24,36.91,7.39,7.91,1,1,0.181,1,High Risk
Sunflower,47.68,83.83,49.39,27.04,6.26,29.3,32.29,30.23,5.59,0,0,0.439,0,High Risk
Barley,23.87,67.63,68.37,53.38,6.37,46.58,37.26,45.45,9.11,1,1,0.697,1,Medium Risk
Wheat,30.83,82.46,69.8,43.36,6.77,34.42,6.79,27.29,4.77,1,1,0.545,1,High Risk
Barley,35.55,77.66,111.21,39.13,6.5,43.5,51.29,23.78,4.19,1,1,0.321,1,High Risk
Tomato,26.74,47.32,148.87,48.51,7.78,56.39,43.72,49.79,8.12,0,0,0.957,0,Low Risk
Tomato,19.84,63.18,165.85,61.7,5.91,79.12,40.93,58.57,10.17,0,0,0.754,0,Low Risk
Sugarcane,18.91,59.05,97.76,53.16,6.82,67.49,70.51,68.3,9.13,1,0,0.905,0,Low Risk
Cotton,14.63,74.2,67.85,51.52,7.66,81.53,46.32,63.42,8.12,1,0,0.73,0,Medium Risk
Sugarcane,29.09,61.84,0.0,48.44,7.23,48.38,46.5,45.12,6.32,0,1,0.577,1,Medium Risk
Soybean,27.33,48.45,99.14,57.67,7.14,49.34,30.52,55.28,5.29,0,0,0.515,0,Medium Risk
Wheat,26.13,59.32,67.57,45.8,6.79,60.16,22.86,59.17,8.73,0,1,0.621,1,Medium Risk
Soybean,32.52,74.66,54.65,44.14,5.61,42.06,20.43,44.85,3.82,1,1,0.399,1,High Risk
Sugarcane,25.68,60.1,176.01,47.4,6.79,42.31,24.22,45.57,8.65,0,0,0.798,1,Medium Risk
Tomato,27.26,60.67,161.44,77.83,7.37,68.71,39.08,68.94,8.32,0,0,0.991,1,Low Risk
Cotton,22.64,60.28,101.36,53.22,5.67,62.14,41.3,48.91,7.04,0,0,0.841,0,Low Risk
Cotton,29.18,63.73,126.94,58.08,5.43,46.24,26.6,29.81,4.65,0,1,0.486,1,Medium Risk
Barley,34.35,81.76,118.23,46.5,6.16,30.76,48.66,83.36,9.03,0,0,0.652,1,Medium Risk
Rice,27.56,70.46,117.39,51.14,6.02,28.97,27.72,56.62,10.05,0,1,0.704,0,Medium Risk
Wheat,28.58,66.73,159.58,50.67,6.5,78.45,21.75,33.95,7.63,1,1,0.488,1,Medium Risk
Wheat,18.99,69.44,146.71,71.17,6.74,76.85,56.84,66.27,8.96,0,1,0.953,0,Low Risk
Rice,41.58,76.63,95.03,37.04,7.14,53.58,7.24,31.67,7.69,1,1,0.496,0,High Risk
Potato,29.95,74.43,0.0,69.65,5.64,41.4,33.72,17.32,6.66,1,1,0.313,0,High Risk
Sugarcane,34.0,59.18,151.18,61.65,6.7,74.94,36.02,58.16,3.46,0,0,0.717,1,Medium Risk
Potato,29.43,80.75,174.0,68.11,6.25,65.74,41.35,29.9,4.77,1,0,0.618,0,Medium Risk
Tomato,28.48,77.03,127.54,55.75,6.19,44.12,31.74,63.61,7.01,1,0,0.845,1,Medium Risk
Sugarcane,21.69,47.62,81.34,46.28,6.35,91.36,43.57,49.4,6.23,0,0,0.823,0,Low Risk
Soybean,37.67,86.55,81.58,26.18,5.07,15.01,35.14,27.26,3.92,1,1,0.54,1,High Risk
Sunflower,25.4,68.45,158.33,30.69,6.92,60.32,46.29,35.85,6.52,0,0,0.588,0,Medium Risk
Wheat,26.8,72.39,103.42,53.3,7.28,74.42,48.5,49.41,8.54,0,1,0.566,1,Medium Risk
Sunflower,25.26,70.53,67.07,71.24,5.72,65.28,33.14,61.42,4.99,0,0,0.599,1,Medium Risk
Barley,21.71,39.12,133.15,67.06,6.45,82.74,34.39,71.37,8.37,0,0,0.785,0,Low Risk
Cotton,35.05,76.07,132.02,33.16,6.44,41.63,41.03,39.18,6.59,0,1,0.696,1,Medium Risk
Cotton,30.53,72.02,187.68,50.37,6.08,31.19,34.05,42.44,7.55,1,0,0.444,1,High Risk
Potato,34.82,68.21,108.11,48.34,7.6,1.74,34.23,17.91,5.32,0,0,0.355,1,High Risk
Sugarcane,22.37,49.81,120.48,58.7,6.16,64.02,53.22,73.97,9.15,0,0,0.838,0,Low Risk
Potato,30.2,55.7,153.05,58.2,5.64,80.14,54.91,62.36,7.83,0,0,0.791,0,Low Risk
Soybean,31.87,61.46,90.8,45.99,6.38,41.25,18.38,66.73,8.23,0,1,0.641,1,Medium Risk
Cotton,28.19,54.19,219.78,68.6,6.9,86.3,54.0,25.1,7.25,0,1,0.94,0,Low Risk
Rice,29.52,84.03,107.77,48.95,5.86,41.34,29.53,20.28,3.88,0,1,0.627,0,Medium Risk
Barley,26.55,70.98,95.5,54.74,7.12,37.76,33.6,47.6,8.1,0,1,0.593,0,Medium Risk
Tomato,25.3,65.32,94.75,38.81,5.49,68.99,39.95,31.82,5.59,1,0,0.646,0,Medium Risk
Barley,30.35,72.36,142.45,51.9,6.32,81.33,37.52,63.72,6.16,0,0,0.565,1,Medium Risk
Rice,23.16,52.45,150.81,59.46,7.4,39.26,52.94,60.99,7.8,0,0,0.749,0,Low Risk
Barley,34.12,86.94,82.72,48.22,7.54,34.48,32.12,64.39,6.36,1,1,0.371,1,High Risk
Sunflower,34.21,73.35,91.26,41.93,6.69,0.47,38.71,3.67,5.99,1,0,0.65,0,High Risk
Rice,27.1,76.97,101.45,46.75,6.28,48.52,32.98,33.08,8.48,0,1,0.588,1,Medium Risk
Potato,30.8,59.19,169.4,45.46,7.33,97.09,27.52,49.79,6.8,0,1,0.853,1,Medium Risk
Soybean,34.88,63.74,169.44,44.95,7.23,35.75,66.48,20.38,5.35,0,1,0.87,0,Medium Risk
Maize,28.94,64.78,54.45,60.66,7.38,48.68,41.92,31.16,7.13,0,1,0.581,1,Medium Risk
Maize,28.33,51.67,210.8,38.64,7.03,57.41,66.47,61.99,6.99,0,0,0.886,0,Low Risk
Soybean,25.09,56.14,171.37,60.72,5.74,58.08,66.07,64.47,9.2,0,0,0.912,0,Low Risk
Tomato,16.59,48.02,118.25,66.51,6.95,55.46,45.45,67.52,8.86,0,0,0.717,1,Low Risk
Rice,27.96,94.17,134.66,33.98,6.3,42.12,34.88,54.91,6.43,1,0,0.317,0,High Risk
Rice,43.45,64.27,55.55,30.94,7.04,53.6,20.54,38.39,7.67,1,1,0.453,1,High Risk
Tomato,35.29,71.54,73.79,30.77,6.35,4.13,25.43,17.65,6.62,0,0,0.382,1,High Risk
Sugarcane,36.28,74.4,113.11,48.77,7.18,40.91,16.61,46.01,8.79,0,1,0.809,1,Medium Risk
Wheat,36.05,80.76,117.93,49.59,6.78,40.88,49.76,42.15,7.74,0,0,0.821,1,Medium Risk
Sugarcane,35.24,79.99,64.41,47.93,7.1,13.85,22.88,45.49,5.0,1,1,0.559,0,High Risk
Sunflower,37.9,60.39,139.92,76.31,6.21,56.91,41.47,49.68,7.73,1,0,0.53,0,Medium Risk
Tomato,20.54,54.87,134.01,66.66,6.04,56.68,40.84,61.62,9.45,0,0,0.816,0,Low Risk
Wheat,30.84,78.59,67.18,53.95,7.32,35.88,13.07,30.8,8.32,0,0,0.405,1,High Risk
Maize,19.21,71.73,125.15,50.57,7.53,85.17,65.29,46.7,5.71,0,0,0.833,0,Low Risk
Rice,20.78,54.06,115.77,64.01,5.47,72.48,52.89,92.7,5.37,0,0,1.0,0,Low Risk
Maize,33.22,85.49,107.32,30.24,6.36,33.27,31.2,38.14,5.04,1,1,0.344,1,High Risk
Potato,27.65,69.5,150.97,56.94,5.67,44.42,38.92,41.33,6.6,1,1,0.478,0,Medium Risk
Barley,29.33,41.78,222.68,52.08,5.5,78.75,56.31,67.7,8.15,0,0,1.0,0,Low Risk
Soybean,32.1,100.0,55.79,53.87,4.85,12.26,22.79,39.17,3.35,1,1,0.415,0,High Risk
Soybean,22.29,60.38,196.47,44.13,5.18,25.27,57.0,38.75,7.6,1,1,0.681,1,Medium Risk
Sunflower,35.31,91.02,108.4,41.52,6.24,36.02,39.45,21.93,6.84,1,1,0.497,1,High Risk
Maize,16.96,61.51,209.05,19.46,6.48,68.25,50.86,83.96,6.85,0,0,0.702,0,Low Risk
Rice,39.95,71.63,36.45,40.68,6.62,40.12,23.82,3.16,10.68,1,1,0.423,1,High Risk
Soybean,28.59,82.54,93.93,52.86,6.21,50.33,17.2,28.18,6.91,0,0,0.679,0,Medium Risk
Barley,21.89,45.35,214.22,74.17,7.61,72.69,53.37,50.86,6.73,0,1,0.822,0,Low Risk
Soybean,38.78,85.43,118.96,33.68,7.08,38.42,38.99,22.84,3.72,1,1,0.357,1,High Risk
Tomato,31.32,77.94,79.68,63.11,5.38,59.93,40.01,31.52,8.54,0,0,0.469,1,Medium Risk
Potato,37.63,84.58,38.31,46.12,6.51,56.0,9.89,52.66,4.78,1,1,0.578,1,High Risk
Cotton,24.23,71.7,159.33,56.9,7.66,47.43,41.42,44.21,8.14,0,0,0.579,1,Medium Risk
Sunflower,34.35,97.25,86.95,25.83,7.26,31.64,35.68,52.17,4.03,0,1,0.578,1,High Risk
Sunflower,21.18,51.48,138.96,56.61,6.03,72.03,46.23,37.66,8.05,0,0,0.808,0,Low Risk
Cotton,27.73,63.73,75.43,50.98,5.41,100.03,48.74,84.93,5.55,0,0,0.763,0,Low Risk
Cotton,28.41,87.98,144.81,41.55,6.94,32.58,24.96,51.08,6.64,1,1,0.395,1,High Risk
Rice,26.89,63.94,106.57,68.81,6.3,79.19,51.82,57.59,8.81,0,0,0.787,0,Low Risk
Tomato,38.13,74.98,31.04,41.41,4.97,29.9,25.95,37.88,6.01,0,1,0.292,1,High Risk
Potato,23.05,65.28,134.32,60.28,6.79,54.77,57.48,82.92,7.74,0,0,0.707,0,Low Risk
Soybean,35.05,88.04,131.22,43.47,6.51,30.81,33.96,36.67,5.87,1,1,0.404,1,High Risk
Maize,40.16,86.52,160.02,39.29,7.07,23.78,32.75,20.99,2.69,1,1,0.392,0,High Risk
Wheat,43.15,76.02,122.92,36.13,6.28,28.19,22.48,25.68,3.29,0,1,0.413,1,High Risk
Barley,25.6,54.11,26.98,45.24,6.76,56.82,48.21,39.52,7.16,1,0,0.735,1,Medium Risk
Cotton,28.44,74.67,109.58,33.57,6.37,40.03,25.84,38.98,6.52,0,0,0.751,1,Medium Risk
Tomato,34.69,84.59,64.96,50.01,6.82,22.36,19.63,12.22,2.57,1,1,0.513,1,High Risk
Sugarcane,28.27,41.04,115.32,58.65,6.53,59.71,36.26,65.53,10.61,0,0,0.825,0,Low Risk
